customer_id,first_name,last_name,email,phone,street_address,city,state,postal_code,registration_date
1,Jennifer,Rodriguez,jennifer.rodriguez16@yahoo.com,(425) 330-2188,3281 Maple Dr,San Francisco,CA,96569,2024-04-08
2,Emily,Smith,emily.smith7@hotmail.com,(601) 607-4218,2878 Maple Dr,Chicago,IL,75054,2022-05-08
3,Lisa,Wilson,lisa.wilson12@yahoo.com,(146) 250-6464,9665 Elm St,Washington,DC,19303,2024-11-22
4,Jennifer,Miller,jennifer.miller27@hotmail.com,(141) 294-5886,3112 Cedar Ln,San Jose,CA,50699,2024-07-07
5,Anna,Moore,anna.moore78@gmail.com,(898) 377-9083,7165 Birch Blvd,New York,NY,68186,2022-09-21
6,Lisa,Hernandez,lisa.hernandez9@gmail.com,(808) 957-8707,6875 Oak Ave,Austin,TX,19989,2024-08-23
7,Jane,Moore,jane.moore46@gmail.com,(594) 811-4914,2827 Maple Dr,Seattle,WA,87737,2022-06-10
8,Robert,Lopez,robert.lopez50@yahoo.com,(361) 137-2202,9247 Main St,Jacksonville,FL,76700,2023-12-07
9,Mary,Moore,mary.moore95@gmail.com,(846) 854-2563,5358 Cedar Ln,Charlotte,NC,44153,2025-06-22
10,William,Lopez,william.lopez32@gmail.com,(507) 148-9059,7846 Cedar Ln,New York,NY,16629,2022-01-24
11,Christopher,Davis,christopher.davis2@outlook.com,(426) 419-2920,8940 Elm St,Dallas,TX,12408,2025-05-22
12,Linda,Jones,linda.jones23@gmail.com,(923) 652-1395,3524 Birch Blvd,Denver,CO,60150,2022-11-25
13,Jane,Davis,jane.davis66@outlook.com,(940) 657-7542,4666 Willow Way,New York,NY,96516,2024-12-29
14,Linda,Smith,linda.smith20@hotmail.com,(429) 261-6536,1583 Birch Blvd,Fort Worth,TX,47025,2025-05-14
15,Chris,Miller,chris.miller93@yahoo.com,(450) 838-7840,2265 Elm St,San Antonio,TX,17273,2025-05-23
16,Charles,Martinez,charles.martinez34@gmail.com,(615) 619-1875,7177 Willow Way,San Francisco,CA,15579,2022-03-29
17,Elizabeth,Garcia,elizabeth.garcia6@gmail.com,(713) 816-2518,8961 Oak Ave,San Jose,CA,39144,2022-07-08
18,Chris,Jones,chris.jones50@hotmail.com,(202) 198-6493,8900 Maple Dr,Dallas,TX,82554,2025-02-22
19,Jane,Hernandez,jane.hernandez21@hotmail.com,(346) 290-2954,1925 Birch Blvd,Washington,DC,96009,2022-03-08
20,Anna,Anderson,anna.anderson88@yahoo.com,(250) 118-6137,3800 Main St,Washington,DC,71654,2024-09-01
21,Jennifer,Rodriguez,jennifer.rodriguez47@outlook.com,(403) 591-1929,8813 Elm St,Phoenix,AZ,93961,2022-06-13
22,Charles,Williams,charles.williams38@hotmail.com,(863) 175-6553,4095 Birch Blvd,Denver,CO,45690,2024-09-22
23,William,Wilson,william.wilson17@hotmail.com,(284) 354-6352,9540 Maple Dr,Fort Worth,TX,10363,2023-04-21
24,John,Jones,john.jones96@hotmail.com,(175) 857-9759,5034 Maple Dr,New York,NY,27005,2024-09-22
25,Linda,Anderson,linda.anderson1@yahoo.com,(497) 629-7574,893 Birch Blvd,Austin,TX,16793,2023-04-30
26,Jane,Gonzalez,jane.gonzalez51@yahoo.com,(544) 949-1137,6177 Oak Ave,Los Angeles,CA,26943,2025-08-18
27,Patricia,Rodriguez,patricia.rodriguez2@gmail.com,(111) 980-4544,9711 Oak Ave,Los Angeles,CA,87642,2022-12-04
28,Jane,Davis,jane.davis82@gmail.com,(246) 473-3216,481 Maple Dr,Washington,DC,44379,2022-11-20
29,Chris,Anderson,chris.anderson97@outlook.com,(682) 578-7007,3889 Pine Rd,Houston,TX,85297,2024-03-14
30,Jane,Johnson,jane.johnson80@hotmail.com,(144) 236-8593,5815 Maple Dr,San Francisco,CA,48702,2023-06-12
31,Robert,Jackson,robert.jackson18@gmail.com,(426) 392-5612,4774 Oak Ave,Austin,TX,39508,2022-09-12
32,Linda,Smith,linda.smith81@gmail.com,(835) 661-7378,5799 Elm St,Jacksonville,FL,79388,2023-08-04
33,Anna,Hernandez,anna.hernandez51@hotmail.com,(260) 987-3750,9883 Oak Ave,Jacksonville,FL,29583,2024-10-07
34,Elizabeth,Thomas,elizabeth.thomas7@outlook.com,(816) 517-7224,297 Oak Ave,San Diego,CA,63528,2024-05-10
35,David,Martinez,david.martinez70@hotmail.com,(131) 558-1171,4955 Pine Rd,Charlotte,NC,93931,2024-05-13
36,William,Smith,william.smith17@yahoo.com,(461) 918-2030,6096 Main St,Indianapolis,IN,57863,2022-05-26
37,Mary,Miller,mary.miller88@gmail.com,(169) 551-4774,1577 Oak Ave,Columbus,OH,75149,2023-10-10
