order_id,customer_id,employee_id,order_date,order_status,shipping_method,shipping_address,shipping_cost
1,3559,440,2025-03-25,Delivered,Standard,"2635 Elm St, New York, NY",19.79
2,72,251,2024-10-22,Shipped,Overnight,"6630 Maple Dr, Austin, TX",11.37
3,7314,449,2022-10-22,Cancelled,Express,"7901 Cedar Ln, Dallas, TX",18.84
4,4372,497,2025-05-06,Cancelled,Overnight,"5826 Cedar Ln, Austin, TX",11.43
5,2531,87,2023-02-04,Shipped,Standard,"1182 Main St, Phoenix, AZ",11.14
6,6765,347,2024-12-03,Cancelled,Standard,"2817 Maple Dr, Houston, TX",18.54
7,2476,293,2024-07-14,Shipped,Express,"4887 Maple Dr, Denver, CO",17.61
8,5007,277,2024-02-23,Pending,Standard,"5915 Birch Blvd, Los Angeles, CA",0.69
9,6008,370,2023-03-09,Pending,Express,"9487 Pine Rd, Washington, DC",14.94
10,5580,465,2025-01-21,Pending,Overnight,"8013 Oak Ave, Indianapolis, IN",19.07
11,6134,195,2023-09-16,Pending,Overnight,"7138 Birch Blvd, Jacksonville, FL",2.6
12,7865,458,2025-06-09,Pending,Standard,"5522 Cedar Ln, San Francisco, CA",0.95
13,3258,253,2025-12-02,Delivered,Overnight,"7739 Oak Ave, Los Angeles, CA",19.12
14,1012,496,2022-11-22,Cancelled,Express,"8681 Willow Way, Austin, TX",11.67
15,3536,98,2023-10-12,Delivered,Express,"4960 Pine Rd, Jacksonville, FL",3.46
16,4470,305,2025-05-29,Shipped,Standard,"5995 Main St, Chicago, IL",5.59
17,6470,262,2023-02-20,Pending,Standard,"3581 Oak Ave, Charlotte, NC",18.94
18,3520,52,2022-01-05,Delivered,Overnight,"8973 Birch Blvd, San Antonio, TX",14.91
19,421,41,2023-09-10,Cancelled,Standard,"1278 Elm St, Phoenix, AZ",7.03
20,989,355,2023-10-08,Pending,Express,"4291 Main St, New York, NY",12.69
21,7059,35,2024-01-13,Delivered,Standard,"5608 Oak Ave, Chicago, IL",11.2
22,2858,53,2024-04-06,Delivered,Overnight,"3333 Elm St, Indianapolis, IN",10.77
23,414,208,2022-09-26,Delivered,Overnight,"5026 Maple Dr, Los Angeles, CA",15.59
24,7673,451,2023-08-03,Shipped,Express,"8053 Elm St, Los Angeles, CA",3.0
25,4440,490,2024-12-06,Shipped,Express,"399 Oak Ave, New York, NY",2.45
26,7370,10,2025-02-28,Shipped,Express,"9072 Oak Ave, Fort Worth, TX",4.1
27,5568,45,2025-09-19,Cancelled,Standard,"1081 Willow Way, San Francisco, CA",7.48
28,3831,243,2023-09-26,Pending,Express,"163 Pine Rd, Houston, TX",16.59
29,5572,32,2024-11-10,Pending,Standard,"4524 Birch Blvd, Houston, TX",2.4
30,116,302,2022-08-22,Cancelled,Express,"4266 Birch Blvd, Seattle, WA",15.21
31,7730,242,2022-09-06,Shipped,Express,"3846 Elm St, San Antonio, TX",17.27
32,4126,175,2023-02-11,Cancelled,Express,"3289 Elm St, Philadelphia, PA",10.92
33,5251,210,2025-04-23,Shipped,Overnight,"5797 Pine Rd, Austin, TX",18.78
34,7413,244,2022-12-30,Shipped,Overnight,"9916 Pine Rd, Dallas, TX",8.31
35,5906,304,2022-07-29,Shipped,Express,"6189 Pine Rd, Washington, DC",0.63
36,1121,43,2022-06-09,Shipped,Express,"2327 Pine Rd, San Francisco, CA",17.4
37,4156,460,2024-11-25,Shipped,Overnight,"1825 Birch Blvd, Chicago, IL",16.05
38,3998,80,2022-04-30,Delivered,Express,"2188 Willow Way, Fort Worth, TX",15.01
39,2876,29,2024-06-05,Cancelled,Standard,"2212 Maple Dr, Phoenix, AZ",15.41
40,7049,254,2025-04-23,Delivered,Standard,"7634 Cedar Ln, Fort Worth, TX",16.26
41,4729,496,2022-07-10,Delivered,Standard,"8044 Willow Way, Dallas, TX",4.34
42,3354,135,2024-08-01,Cancelled,Express,"9734 Elm St, Dallas, TX",17.22
43,7663,156,2025-06-12,Shipped,Overnight,"3865 Willow Way, Indianapolis, IN",10.74
44,910,82,2023-04-07,Delivered,Standard,"1422 Maple Dr, New York, NY",15.28
45,5806,331,2025-04-18,Delivered,Express,"166 Main St, Charlotte, NC",11.86
46,3420,311,2022-07-13,Shipped,Express,"5838 Maple Dr, San Diego, CA",11.16
47,4426,46,2024-10-29,Delivered,Express,"3608 Birch Blvd, Columbus, OH",18.14
48,6939,436,2024-08-07,Delivered,Standard,"4968 Main St, San Diego, CA",17.29
49,3242,128,2025-08-29,Delivered,Standard,"5939 Oak Ave, Philadelphia, PA",17.11
50,5031,37,2022-08-10,Cancelled,Express,"3142 Maple Dr, Phoenix, AZ",1.74
51,5381,470,2025-08-02,Delivered,Standard,"608 Oak Ave, Chicago, IL",3.94
52,6686,245,2022-01-17,Pending,Standard,"6634 Pine Rd, San Diego, CA",14.24
53,2025,413,2024-05-28,Pending,Standard,"6568 Elm St, Jacksonville, FL",7.31
54,5079,1,2023-03-01,Shipped,Standard,"6737 Maple Dr, Dallas, TX",17.76
55,7517,182,2023-10-25,Cancelled,Overnight,"8317 Oak Ave, Jacksonville, FL",19.08
56,442,392,2024-07-16,Pending,Express,"3801 Elm St, Indianapolis, IN",15.8
57,5789,440,2025-01-11,Pending,Overnight,"2548 Maple Dr, Los Angeles, CA",9.75
58,4981,170,2023-10-19,Pending,Overnight,"8853 Main St, Chicago, IL",11.0
59,5314,330,2023-07-13,Pending,Overnight,"6572 Oak Ave, Denver, CO",16.73
60,1972,451,2023-03-25,Cancelled,Overnight,"7836 Main St, Washington, DC",6.69
61,3606,232,2022-08-17,Shipped,Express,"2442 Willow Way, Fort Worth, TX",18.49
62,1818,17,2024-06-11,Shipped,Standard,"6210 Cedar Ln, Los Angeles, CA",8.08
63,2173,356,2024-02-09,Pending,Express,"5253 Cedar Ln, San Francisco, CA",7.44
64,2045,257,2022-07-13,Delivered,Standard,"9873 Birch Blvd, Los Angeles, CA",10.63
65,2727,4,2023-11-24,Pending,Overnight,"962 Cedar Ln, Jacksonville, FL",4.03
66,3464,185,2022-03-06,Pending,Standard,"126 Elm St, Charlotte, NC",10.58
67,3744,83,2022-07-05,Shipped,Standard,"9308 Elm St, San Jose, CA",2.88
68,1434,159,2022-10-29,Cancelled,Express,"3465 Pine Rd, San Diego, CA",14.36
69,784,241,2023-08-12,Cancelled,Overnight,"2029 Elm St, Indianapolis, IN",12.24
70,3321,44,2023-11-22,Delivered,Express,"2738 Birch Blvd, Chicago, IL",2.59
71,3043,227,2022-07-26,Pending,Overnight,"1516 Elm St, Fort Worth, TX",16.36
72,5176,179,2025-07-31,Pending,Express,"8059 Elm St, Dallas, TX",9.38
73,2962,208,2024-06-24,Cancelled,Express,"4867 Oak Ave, Chicago, IL",1.43
74,2615,244,2023-07-10,Shipped,Express,"7218 Elm St, Houston, TX",11.96
75,7120,15,2023-10-07,Pending,Standard,"6819 Oak Ave, Denver, CO",10.91
76,7231,58,2024-02-25,Shipped,Express,"8480 Elm St, Los Angeles, CA",1.49
77,6589,295,2025-12-02,Cancelled,Express,"2458 Elm St, Charlotte, NC",3.27
78,5887,186,2022-01-09,Cancelled,Standard,"314 Cedar Ln, San Antonio, TX",4.49
79,158,429,2025-11-03,Delivered,Overnight,"8295 Main St, Columbus, OH",2.99
80,2020,63,2023-07-10,Shipped,Standard,"3844 Maple Dr, Columbus, OH",18.41
81,5068,208,2022-04-20,Shipped,Overnight,"8411 Elm St, San Antonio, TX",5.66
82,5059,379,2025-07-16,Shipped,Overnight,"5603 Pine Rd, Washington, DC",7.03
83,2279,285,2024-07-31,Shipped,Overnight,"2048 Birch Blvd, Philadelphia, PA",5.38
84,6637,127,2025-01-13,Shipped,Express,"4249 Cedar Ln, Phoenix, AZ",0.27
85,3352,110,2024-04-19,Cancelled,Standard,"9465 Oak Ave, Chicago, IL",13.74
86,6876,26,2024-05-23,Cancelled,Express,"1709 Cedar Ln, Charlotte, NC",1.94
87,1114,203,2025-05-26,Shipped,Standard,"600 Maple Dr, Chicago, IL",3.23
88,66,487,2022-03-27,Cancelled,Overnight,"8715 Willow Way, Seattle, WA",9.43
89,6782,234,2023-04-30,Cancelled,Express,"967 Oak Ave, Austin, TX",19.48
90,1521,33,2024-12-03,Pending,Standard,"1653 Cedar Ln, Indianapolis, IN",5.85
91,6743,76,2024-08-03,Pending,Overnight,"187 Pine Rd, San Antonio, TX",7.42
92,3208,211,2025-11-20,Pending,Standard,"4069 Birch Blvd, Houston, TX",14.95
93,790,361,2024-08-02,Cancelled,Express,"2460 Birch Blvd, Washington, DC",19.11
94,1814,346,2023-01-18,Shipped,Standard,"9382 Maple Dr, Phoenix, AZ",19.98
95,6274,390,2022-04-10,Pending,Standard,"767 Pine Rd, Jacksonville, FL",11.87
96,3968,498,2023-04-28,Delivered,Overnight,"1545 Maple Dr, Phoenix, AZ",10.42
97,3562,246,2022-09-29,Pending,Standard,"7188 Oak Ave, Seattle, WA",14.54
98,1638,201,2024-06-29,Delivered,Overnight,"1218 Birch Blvd, Indianapolis, IN",16.12
99,6652,298,2024-07-20,Cancelled,Express,"7788 Elm St, Jacksonville, FL",18.69
100,4687,377,2023-08-10,Cancelled,Overnight,"9653 Maple Dr, San Diego, CA",6.32
101,1934,421,2024-08-23,Pending,Overnight,"8041 Birch Blvd, San Jose, CA",19.85
102,7001,161,2025-07-03,Cancelled,Standard,"8245 Pine Rd, Seattle, WA",13.5
103,2739,236,2024-10-30,Pending,Overnight,"2821 Pine Rd, Phoenix, AZ",7.16
104,281,24,2023-04-04,Pending,Standard,"2426 Maple Dr, San Jose, CA",8.99
105,7415,500,2022-06-16,Delivered,Express,"4780 Cedar Ln, Houston, TX",18.46
106,2040,127,2022-01-20,Delivered,Standard,"9404 Pine Rd, Dallas, TX",1.56
107,5998,147,2024-11-18,Shipped,Standard,"2827 Maple Dr, San Jose, CA",13.57
108,5380,352,2022-08-02,Cancelled,Express,"5978 Oak Ave, Seattle, WA",13.23
109,3239,238,2025-03-18,Shipped,Express,"4773 Pine Rd, Seattle, WA",15.05
110,2505,368,2022-11-10,Shipped,Standard,"6428 Main St, Chicago, IL",11.26
111,3328,110,2022-04-27,Cancelled,Express,"7446 Main St, San Jose, CA",13.29
112,348,374,2024-04-04,Pending,Express,"2539 Elm St, New York, NY",4.61
113,7149,267,2025-08-21,Shipped,Standard,"7211 Elm St, Washington, DC",8.7
114,2008,351,2022-10-16,Pending,Express,"9417 Pine Rd, Phoenix, AZ",5.23
115,3985,148,2023-06-09,Cancelled,Overnight,"7344 Main St, Houston, TX",12.2
116,5810,99,2023-06-19,Pending,Overnight,"2746 Cedar Ln, Chicago, IL",6.19
117,4833,104,2024-04-28,Cancelled,Standard,"7543 Oak Ave, Charlotte, NC",16.14
118,3105,29,2023-11-05,Pending,Express,"4638 Elm St, Phoenix, AZ",9.39
119,617,481,2023-05-28,Cancelled,Overnight,"7021 Main St, New York, NY",17.59
120,255,13,2023-03-20,Cancelled,Express,"8385 Main St, Los Angeles, CA",17.87
121,4842,398,2022-04-13,Pending,Express,"4234 Oak Ave, Seattle, WA",10.17
122,1383,156,2023-06-07,Shipped,Standard,"2777 Elm St, Dallas, TX",4.76
123,543,465,2024-02-29,Pending,Standard,"2566 Elm St, Seattle, WA",6.91
124,3272,120,2025-10-10,Pending,Standard,"4295 Cedar Ln, Denver, CO",3.77
125,8,360,2023-11-13,Cancelled,Overnight,"9247 Main St, Jacksonville, FL",13.14
126,3636,357,2024-06-19,Shipped,Express,"5697 Willow Way, San Diego, CA",3.17
127,1201,294,2024-01-04,Pending,Express,"5326 Elm St, Indianapolis, IN",17.12
128,11,160,2024-12-13,Shipped,Standard,"8940 Elm St, Dallas, TX",1.89
129,5951,441,2024-04-11,Cancelled,Standard,"6709 Main St, San Antonio, TX",7.76
130,2654,382,2023-09-29,Delivered,Overnight,"1833 Willow Way, Los Angeles, CA",5.72
131,6891,335,2023-01-31,Cancelled,Overnight,"6218 Pine Rd, New York, NY",8.59
132,1158,179,2022-08-10,Cancelled,Express,"3645 Birch Blvd, Indianapolis, IN",16.05
133,91,449,2022-08-29,Shipped,Standard,"7779 Pine Rd, Seattle, WA",14.08
134,3659,42,2023-08-15,Shipped,Express,"1761 Maple Dr, Philadelphia, PA",6.12
135,3032,319,2025-07-25,Shipped,Express,"9808 Willow Way, Phoenix, AZ",12.63
136,715,474,2023-01-30,Shipped,Express,"9861 Oak Ave, Jacksonville, FL",9.49
137,5941,230,2023-07-19,Cancelled,Express,"5973 Pine Rd, Seattle, WA",16.43
138,1469,320,2022-04-10,Delivered,Standard,"9950 Elm St, Dallas, TX",16.79
139,731,36,2022-04-03,Delivered,Overnight,"6506 Elm St, New York, NY",10.62
140,5417,209,2024-09-25,Cancelled,Overnight,"8209 Maple Dr, Phoenix, AZ",19.0
141,598,348,2023-01-07,Cancelled,Express,"1450 Main St, Jacksonville, FL",0.3
142,485,315,2023-02-17,Shipped,Express,"8971 Pine Rd, San Antonio, TX",1.39
